start_station_name,date,avgtemp,value
W 25 St & 6 Ave,2022-02-05,-2.8,1
6 Ave & W 34 St,2022-02-21,4.1,1
E 16 St & 5 Ave,2022-02-17,11.6,1
Washington Square E,2022-02-12,11.8,1
W 59 St & 10 Ave,2022-02-16,1.6,1
W 54 St & 11 Ave,2022-02-08,4.1,1
W 39 St & 9 Ave,2022-02-19,0.1,1
W 54 St & 9 Ave,2022-02-19,0.1,1
MacDougal St & Prince St,2022-02-05,-2.8,1
Rutgers St & Henry St,2022-02-24,1.1,1
Stanton St & Chrystie St,2022-02-27,2.4,1
Emerson Pl & Myrtle Ave,2022-02-10,6.3,1
7 Ave & Central Park South,2022-02-01,-1.7,1
Berkeley Pl & 7 Ave,2022-02-16,1.6,1
10 St & 7 Ave,2022-02-09,2.8,1
Columbus Ave & W 95 St,2022-02-26,-1.1,1
West End Ave & W 60 St,2022-02-02,2.3,1
W 26 St & 8 Ave,2022-02-14,-4.3,1
E 17 St & Broadway,2022-02-22,5.6,1
E 20 St & FDR Drive,2022-02-14,-4.3,1
9 Ave & W 18 St,2022-02-09,2.8,1
Sullivan St & Washington Sq,2022-02-20,-2.6,1
Vernon Blvd & 50 Ave,2022-02-13,2.8,1
Calyer St & Guernsey St,2022-02-01,-1.7,1
10 Ave & W 28 St,2022-02-03,6.4,1
12 Ave & W 40 St,2022-02-15,-4.7,1
Central Park West & W 68 St,2022-02-08,4.1,1
West End Ave & W 107 St,2022-02-23,14.4,1
Grand Army Plaza & Plaza St West,2022-02-22,5.6,1
11 Ave & W 27 St,2022-02-24,1.1,1
E 40 St & Park Ave,2022-02-10,6.3,1
W 45 St & 8 Ave,2022-02-26,-1.1,1
1 Ave & E 39 St,2022-02-17,11.6,1
E 75 St & 3 Ave,2022-02-28,0.8,1
Stanton St & Chrystie St,2022-02-12,11.8,1
Union St & 4 Ave,2022-02-20,-2.6,1
Putnam Ave & Throop Ave,2022-02-27,2.4,1
Metropolitan Ave & Vandervoort Ave,2022-02-27,2.4,1
Central Park West & W 85 St,2022-02-16,1.6,1
Prospect Park West & 8 St,2022-02-19,0.1,1
W 113 St & Broadway,2022-02-18,9.9,1
W 95 St & Broadway,2022-02-02,2.3,1
Frederick Douglass Blvd & W 112 St,2022-02-12,11.8,1
E 81 St & Park Ave,2022-02-07,0.5,1
Grand St & Greene St,2022-02-26,-1.1,1
Willoughby St & Ashland Pl,2022-02-16,1.6,1
South St & Whitehall St,2022-02-24,1.1,1
11 Ave & W 59 St,2022-02-22,5.6,1
DeKalb Ave & S Portland Ave,2022-02-16,1.6,1
W 67 St & Broadway,2022-02-03,6.4,1
E 81 St & 3 Ave,2022-02-12,11.8,1
6 Ave & 9 St,2022-02-12,11.8,1
W 49 St & 8 Ave,2022-02-11,8.6,1
3 Ave & E 62 St,2022-02-11,8.6,1
1 Ave & E 78 St,2022-02-12,11.8,1
E 4 St & 2 Ave,2022-02-05,-2.8,1
Grand St & Samuel Dickstein Plaza,2022-02-21,4.1,1
E 33 St & 1 Ave,2022-02-25,0.8,1
Lenox Ave & W 111 St,2022-02-27,2.4,1
2 Ave & E 31 St,2022-02-20,-2.6,1
St Marks Pl & 4 Ave,2022-02-09,2.8,1
8 Ave & W 33 St,2022-02-27,2.4,1
MacDougal St & Prince St,2022-02-10,6.3,1
Congress St & Hicks St,2022-02-21,4.1,1
Central Park W & W 91 St,2022-02-09,2.8,1
W 52 St & 6 Ave,2022-02-25,0.8,1
31 St & Ditmars Blvd,2022-02-16,1.6,1
Adam Clayton Powell Blvd & W 118 St,2022-02-19,0.1,1
Bedford Ave & Bergen St,2022-02-15,-4.7,1
Fulton St & Broadway,2022-02-07,0.5,1
W 37 St & Broadway,2022-02-17,11.6,1
2 Ave & E 96 St,2022-02-02,2.3,1
Central Park North & Adam Clayton Powell Blvd,2022-02-14,-4.3,1
Broadway & Moylan Pl,2022-02-18,9.9,1
Parade Pl & Crooke Ave,2022-02-09,2.8,1
40 Ave & Crescent St,2022-02-18,9.9,1
Grove St & Broadway,2022-07-06,26.0,1
46 St & 30 Rd,2022-07-08,23.5,1
W 225 St & Exterior St,2022-07-11,24.0,1
E Tremont Ave & Jerome Ave,2022-07-05,25.9,1
Myrtle Ave & Linden St,2022-07-08,23.5,1
31 St & Northern Blvd,2022-07-18,26.2,1
Lexington Ave & Classon Ave,2022-07-17,25.7,1
E 93 St & 2 Ave,2022-07-03,26.9,1
W 50 St & 10 Ave,2022-07-25,29.8,1
Intervale Ave & Westchester Ave,2022-07-29,28.2,1
E 77 St & 3 Ave,2022-07-30,26.7,1
W 18 St & 6 Ave,2022-07-22,30.9,1
Union Ave & N 12 St,2022-07-13,28.9,1
1 Ave & E 30 St,2022-07-24,31.1,1
W 20 St & 10 Ave,2022-07-01,28.1,1
Broadway & Berry St,2022-07-11,24.0,1
